,Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0077051047531269e-116,0.0,0.0,0.0
2,1.5673279197427877e-190,0.0,0.0,2.635099602749217e-215,1.3178370681030313e-193,0.0,4.993564487104882e-209,3.778303817861067e-288,2.433440861579197e-153,2.5171089749346815e-44,1.1096184915780707e-155,0.0,5.316559760135699e-267
3,3.890562490076605e-102,1.877067947421863e-208,0.0,2.1359432093767586e-119,3.734696396027786e-105,1.9008542961886922e-255,7.802860234476284e-114,2.900483041249094e-166,1.2832962477013995e-82,3.4926318718170436e-21,2.801490284388069e-83,0.0,2.099975115127229e-148
4,1.9890593762432295e-61,3.053981616576938e-153,1.3675608256695023e-237,4.371308339422152e-73,2.90661192256592e-65,1.2155146917755798e-184,2.6143791616627993e-70,3.7466142394821354e-105,1.1162645122836148e-49,2.5798034090505534e-12,5.976990614897401e-49,6.432006581123622e-306,3.5057860634705734e-93
5,2.2254861273644352e-42,9.219079075725241e-114,5.515494438439217e-163,5.061868316683367e-48,5.432660481296788e-42,1.4817715875678085e-140,1.417942937267053e-46,2.6982527157696104e-80,9.77878542738014e-35,3.752684540504096e-08,2.1340781701583264e-35,1.1519117988167276e-212,3.0568954513865664e-60
6,3.3561749084951034e-28,9.965146531407323e-89,1.0265594117933728e-117,1.609988435278159e-36,1.2603698165041423e-28,3.2857080555600276e-107,2.6007544516959335e-33,1.0007918486488123e-54,1.5263251134767667e-22,4.2498581294945615e-05,4.539890322682723e-21,8.018682289353543e-158,2.440936680620638e-47
7,3.515569433265384e-23,6.952653871526497e-65,2.792826915381356e-92,1.41092122233689e-24,6.623861567134676e-21,1.2236736765442414e-91,3.2319629131053717e-24,5.101886277536169e-44,2.0305406869653424e-18,0.001109830897059957,5.614697702258677e-17,3.24069312002381e-122,2.4020287863865153e-34
8,1.9856659384435314e-15,2.095852050373631e-45,1.0878602978932739e-77,7.323634600765975e-18,9.038372073215705e-15,1.1573485035182796e-69,7.867413524675679e-19,4.000823950164201e-32,3.9187582426232797e-16,0.002697458794311319,1.3917193524029884e-11,6.512568272272142e-97,4.241793086544703e-28
9,8.59808594212261e-12,2.3884904910902994e-41,3.853527700845279e-64,1.3488989013954724e-14,8.13676719355906e-13,4.931349983156353e-49,7.513125305885425e-18,1.4067915497295437e-22,9.487748556625767e-13,0.001196636154275107,7.670035916501289e-09,4.009306267880681e-80,1.9116670319089841e-22
10,4.072559955726529e-11,3.881497025709123e-35,7.078393734436769e-53,2.1391274127663177e-11,3.010355217021995e-09,1.0792835075280624e-40,5.1944059144129487e-14,9.66233722245358e-18,2.4814752512072343e-08,0.08977874958595022,1.1111649362440356e-06,1.4723952897762189e-62,9.474782680821994e-17
11,1.0434073020383799e-10,1.3897257615755864e-26,9.909083965529762e-43,1.2916595773351036e-10,3.2372608899751036e-08,3.6114042871799616e-35,1.641080522287437e-11,5.84067710778034e-16,3.05428244967215e-08,0.09948055399682165,2.981711225984736e-05,1.419408323373739e-51,4.016326232181056e-14
12,2.0640894435695582e-07,4.662258820135612e-21,2.233415485678416e-37,1.791408713311897e-07,9.384234058722613e-07,1.04363397258828e-26,1.5380074147334608e-08,3.721180158037384e-15,9.376534997856925e-07,0.06197159306648303,0.0003101399771434561,1.0859481034686892e-43,1.3731359131470278e-10
13,1.5960292626384568e-07,5.51783327725263e-21,1.3789481681564763e-26,1.8617242434894484e-07,1.878764384831708e-05,3.1625432130967576e-22,4.436292219111362e-07,1.8840087594435287e-12,7.01933302628697e-06,0.22572043915080298,0.001593014057976734,1.9984014200597195e-37,5.198207139804394e-12
14,4.565932258888284e-06,1.7331897934257196e-16,2.4169359017184373e-22,1.3270157192818012e-06,9.116549986825575e-06,1.238211521647138e-17,3.1500225259457067e-07,1.312380428129557e-13,7.184921607403769e-05,0.19584206979005936,0.000580085796810688,1.013144110705503e-33,3.0872381200937006e-09
15,0.000198779357741514,6.629345665877933e-14,2.9868003017058354e-20,2.2748979880577943e-05,0.0013133275877152788,4.4141135489829516e-17,1.752902335073771e-05,4.0033233970061333e-10,9.920412318358174e-06,0.29647638083979655,0.0012981347006657533,2.522225893155756e-31,8.733246025298507e-07
16,5.379276261399326e-06,2.898898037401764e-11,6.040575930113912e-21,0.0006184420502336341,0.00014490556474587064,1.4335630648581096e-16,1.5033204796808069e-05,2.7675610562208838e-08,0.0019143318197704024,0.4953661158334841,0.005134049102750468,2.257631435632365e-27,5.034234352422907e-07
17,1.5490595256633192e-05,8.168981508361522e-10,2.0658776082596747e-17,0.0019286481207779476,0.005326133106128204,2.963770644344031e-13,0.0014735622933880462,2.0826793547258588e-07,0.002419836315604383,0.34826153825793027,0.017846195867407943,2.4560712350074543e-25,1.419699814084871e-05
18,0.0011550426840475662,5.680425414636597e-10,4.063782300366529e-16,0.0005576725823595468,0.007145463955885085,5.097301240749726e-14,8.061452879939884e-05,1.3390025549337393e-07,0.010641322625904434,0.13167104301783283,0.005674229213175313,2.1414848431074126e-21,6.503845666390558e-05
19,0.0008591244266305389,6.241550304248418e-07,7.332833360557308e-16,0.0019985217580096282,0.002477522724635932,1.3895457039257915e-12,0.0006205429592773709,4.9774273473988985e-06,0.004833804403381663,0.18711464023954683,0.0037082983997431553,2.044563862085209e-18,2.387421175261268e-05
20,0.002328355406410932,1.7499696231202064e-07,1.2904707275630426e-13,0.001498820919911351,0.009568363986460349,2.3441324582684933e-10,0.00016686735954860748,9.14888844594014e-05,0.002818901140726158,0.3675355776560554,0.027453850298410964,2.9826526536452407e-16,0.0014679888285330097
21,0.0008970512739461763,2.9462370744059914e-07,4.094606710421798e-14,0.011296142731065004,0.006911014120090578,1.6559558433444808e-11,0.0008899650175851235,7.19577644313331e-05,0.000961384150806506,0.6310773092536596,0.04384334595932171,4.060230309211312e-15,0.00022372802892247452
22,0.042746914977275674,1.537486351538307e-05,3.149215182712929e-11,0.01177082858387492,0.020397501420810513,1.0582548099304948e-10,0.0029467063925901534,0.0011758997123572233,0.006140259701513388,0.8379333290970921,0.015364354698033822,2.1658649335522307e-12,0.0003464853532971737
23,0.018486381653710478,5.5570987621369294e-05,1.7275036721782717e-11,0.05095528900945867,0.0983858892264331,5.517544114867422e-08,0.002650362263100416,0.0002956912855187105,0.02740779601125054,0.5213511893346521,0.008614513691998942,1.8695082479291416e-11,0.002942770571654453
24,0.062709430556675,3.9363967935932403e-05,3.073675770846853e-10,0.03477996617880452,0.005391254848725299,3.807539557600164e-07,0.019317921199628853,0.004797513494611515,0.051530169577370444,0.78728302615831,0.05072192838771228,6.306340909969913e-11,0.00048680497437792044
25,0.2279276798208396,4.934007283616225e-05,1.229978119375786e-08,0.04206008649502735,0.05217454247550224,2.718255587972436e-06,0.004907496877980113,0.003660538836348184,0.20534341923639643,0.3932100565934338,0.1067919675977147,1.1307101892378669e-07,0.00330023610535175
26,0.08211557865933938,0.00039179987502092813,1.570206526759983e-08,0.018558425845301697,0.07572767079842113,3.6072257251425607e-06,0.0018940024829038342,0.02281852329599684,0.2891488980941139,0.4149725017478303,0.0395881069024373,5.77757642363716e-08,0.005097308564717453
27,0.07964794863167779,0.0003156681885425284,9.118292003928641e-07,0.1659285602937719,0.4817905906413804,3.271163712208547e-07,0.0025587629969749883,0.0019088187656531555,0.23341608866230867,0.3818655321712995,0.07325994253398849,2.1693540943565798e-07,0.01828602388654299
28,0.01592731007262801,0.00027975584218154187,5.318739077796373e-06,0.12784198486598575,0.31467323584072004,2.4432270931886745e-07,0.049243976865315675,0.00044018335689436516,0.12290224790433257,0.7705801898193747,0.17064843064225177,6.746212623291052e-07,0.011580956051095086
29,0.015341109602889463,0.00027815989048554445,7.099279878786828e-05,0.08774588458293231,0.23237575392446297,8.138798862961041e-06,0.12749861489663694,0.0017245376522451832,0.11304624637725935,0.856766588534589,0.31743533105344146,7.826691681359804e-08,0.02192726659226693
30,0.008795466429558535,0.0016314992850651015,4.990381399595352e-06,0.1496565328283539,0.335766823759469,2.1724180999010007e-07,0.041662142784352096,0.006923281393183164,0.13245594544290418,0.680496105792037,0.4230248500785595,4.901004909238572e-07,0.08631504221386888
31,0.01698886438878782,0.001360506973931219,8.119180003833356e-06,0.1023488120146202,0.4848806546435027,2.3631383380752274e-06,0.006980429687046927,0.010045246511282992,0.09207651473799827,0.4501378465967053,0.1191586332828165,1.8520751317241316e-05,0.11488458727157391
32,0.035271494303834805,0.00031320171181027027,0.00011844940296672438,0.12659032846392193,0.6925590917895164,5.3908910130591685e-06,0.02143296406093167,0.09877561852026107,0.06715043423892342,0.909605875195286,0.08842190385868409,0.0002327664176283313,0.040868050355388985
33,0.17091418235314015,0.0008052689772262158,0.0003770137598860361,0.17355306207197263,0.46434453089617234,0.0002222403868603464,0.014277266400852468,0.08113819783113418,0.1918063514492373,0.8476119449570028,0.1148544548628706,0.00024753283197390477,0.09288631746809961
34,0.20087779812201034,0.00023733832577810653,0.0004254182205373605,0.25000474813281615,0.435378454145541,0.0015772133956301973,0.010739225926229674,0.12822278590532477,0.14341807949905916,0.560917789136266,0.05793415366392174,0.00034500575587250484,0.13431891866125423
35,0.15523544813105983,0.0007444612610320242,0.01036512675406706,0.5848373293861787,0.8101739372983106,0.0033318264744622997,0.002032860749264939,0.13632626692304983,0.15970182989773696,0.5846761813865803,0.05025929271135787,0.0013868076591473327,0.09588555760048556
36,0.26647972109316065,0.002718286649484189,7.362590406683169e-05,0.06488309802611447,0.7143853210728328,0.0013302892086639,0.012216571512306436,0.05755739651242964,0.1438017838949195,0.9385013637502659,0.019119783360912263,0.00012517281485389858,0.0792620849614476
37,0.22877328264044594,0.003049589957365965,0.0009315718473388967,0.2544875145851392,0.7358106208055928,0.012812359221012924,0.08430343641414462,0.04977461602886235,0.05971307502840517,0.9689750167819395,0.07435448617452523,0.0008341326039467365,0.16987183923007998
38,0.1596863651076429,0.037793378698275926,0.002313087352428765,0.07824817043564214,0.7222643413177179,0.014730543180427715,0.025917375566975265,0.1940302721047359,0.16223561770122563,0.9822547086099219,0.031905373618876465,0.0019846822013990886,0.0327710644508743
39,0.141594310772713,0.018581401393879857,0.0011220763275499798,0.2880358146443167,0.5934597946383657,0.007635212678736335,0.035056464744840365,0.23755386165703674,0.4235721505707418,0.5292049068568193,0.0731534681130328,0.00175220822342845,0.21309250167905702
40,0.48144804034466093,0.02483215601017441,0.000471481318061901,0.23017177999983018,0.4828838208399937,0.03454218571334167,0.2962579162422735,0.3090311881858284,0.41920589816676845,0.895072562280736,0.08752024251101398,0.005280468776316033,0.2503251652543633
41,0.26358509193628343,0.036714879304429404,0.000989943299876925,0.20858258559339482,0.26506362705252695,0.04333231755647782,0.170756056202377,0.2730376723438157,0.17890202939909272,0.46601417121659705,0.16151081827006109,0.000568023035261696,0.7156172338461851
42,0.20832002819245155,0.08099330622165879,0.0025713151698964196,0.26651419903966533,0.015021790695145091,0.04316049950889633,0.19589222785695937,0.13717938419450026,0.32801706310492507,0.4887991933285777,0.13433358639657844,0.0006405655364421925,0.46922508802587914
43,0.09326914920109586,0.19888936718875205,0.0006828634387316496,0.049743074936971166,0.04042017925215857,0.17914576525050052,0.3994303495407834,0.28346801653797515,0.6492338505302868,0.25879297875783625,0.4648228647771516,0.0008823610375146653,0.475599115523353
44,0.24010777666547345,0.19983566253238771,0.003838263429982124,0.13160816131356556,0.01749725491538303,0.050787264084556916,0.4227439419420578,0.18585460272945664,0.15172820690470035,0.4617316623287787,0.37198938903462453,0.0010859372032572322,0.6561186851341014
45,0.12802588792235237,0.07932016919420448,0.009531769126414092,0.255414484420853,0.07472655423278651,0.021992850778409373,0.7874316666386048,0.431170142735012,0.07561755971227857,0.3964578392659761,0.16231526690318931,0.001226138801978292,0.6348801084794082
46,0.3835513572340836,0.023773315858154787,0.0014128230257144084,0.2684172912610375,0.05087702477331557,0.025318818194805193,0.24391348006045965,0.46078740091429626,0.025911454151388624,0.646354662350093,0.511179573977337,0.0008923311539735948,0.6927670634495033
47,0.34718494602115013,0.04128320377593586,0.0024837040120472735,0.2977649004829289,0.2843135351130206,0.014046243490105829,0.25432526621320706,0.5469001066464918,0.04200228308864107,0.5990813743343419,0.6378520520471971,0.01264980739603875,0.3212874044015901
48,0.706143693893866,0.012340667966449616,0.0002543820645698437,0.5895148968169823,0.2885890182100631,0.005345761699053078,0.2765583101356821,0.65986340144417,0.03278486128626945,0.32687154991582856,0.5010194445875635,0.031175525714677965,0.4519504585769687
49,0.5718039412056545,0.10718819596343054,0.00028685596404521354,0.7143809075677208,0.24706371094548774,0.00885320421910127,0.11553836254297645,0.8078573312052189,0.0892271511189553,0.5674954892620117,0.8195152233471522,0.01823360668155207,0.5655544123171288
50,0.5525572081499084,0.020697628383049445,0.0042312643690650235,0.6964583029516143,0.15997237088174254,0.022104529568666747,0.23000752733100904,0.6243279066709462,0.3400167348584151,0.7511452947257935,0.5179404562114349,0.017417388306489232,0.34817008354973566
51,0.3463444285022451,0.006860092687462887,0.01054156576831855,0.5854032410032761,0.1763346491348643,0.0828498132344675,0.4031878548775151,0.47328266698464216,0.09261964357291919,0.9211462708775437,0.6626450533867259,0.04018504609171614,0.39244987882775284
52,0.450058541055424,0.10836701046417341,0.0017018748367396198,0.3989242146113827,0.2058098586520587,0.241214855789611,0.38692296343571586,0.6409476324665625,0.20026253145008877,0.9115480436529997,0.8097512691149454,0.008650312562490098,0.3288752545747903
53,0.18197698605851598,0.062309666449413936,0.004265474223887612,0.4215556577397428,0.6997274158011633,0.05570307512169337,0.7370903366042146,0.36544981415197597,0.18712820168790412,0.7259897762520857,0.612856998317009,0.05704629882286083,0.2403601509795652
54,0.434887975734481,0.15002870009632152,0.009408915725083762,0.2133435270883508,0.5736455080719667,0.010406425432806335,0.45155355196943947,0.38269241305817125,0.5130529653743868,0.9375929110264116,0.7191986557912804,0.045452191752878845,0.4772830980207201
55,0.6078243085166237,0.08534170522422502,0.018438380732820576,0.4923854401637282,0.8776580342566902,0.054689625492608474,0.22885288628238043,0.38483184968195083,0.3949563213528018,0.9477212510011181,0.6569955212644556,0.015685653992977402,0.7013020221896158
56,0.557555679625565,0.10308389792343498,0.11332257213680619,0.2952400929905459,0.7378225747066689,0.0878625732355347,0.2169669090080728,0.3863568640448046,0.15375962530249576,0.9693309104222687,0.6109405795306566,0.009560767547712545,0.5232957879360365
57,0.600215548745008,0.12055517271062899,0.12411934170081129,0.16242913465193154,0.6905221661962359,0.07132789409809981,0.449121905321206,0.2913662520623932,0.2037814540705205,0.9060752897014043,0.29978493548259544,0.050109150221046006,0.47288610686295596
58,0.8848795238162361,0.1732226605856405,0.17303943608961725,0.1027785316128863,0.9169947528816615,0.06620711066489227,0.488241545697256,0.6693249348071777,0.4641134070508438,0.8081031212294307,0.5361388810153596,0.05470485755540744,0.7033762285672038
59,0.7381043496983781,0.19984916581768475,0.10619685061117579,0.27138491588845126,0.8140202855206472,0.11242366965715911,0.7147287567359947,0.5901324112451753,0.43370817075896695,0.7528482506546602,0.4006637918530842,0.16751404597106634,0.6967063437774217
60,0.1768126538758864,0.18480081891023026,0.09719010017624674,0.28298092746061476,0.698880746520558,0.16553349026277642,0.42243716792731845,0.6498072902493994,0.24585182680230466,0.9720763989318597,0.46236878508970747,0.20576959584306065,0.6195596164765695
61,0.5399845289398743,0.11046831996252471,0.18825848114298327,0.663510333266743,0.9139807350266467,0.199082243266392,0.4077153365049734,0.22576595992408588,0.6209006400201029,0.9801859940393086,0.40184307297582955,0.16848313681198224,0.8348031353866874
62,0.6572188279278248,0.15039251411195165,0.13705727405644386,0.36287710397973894,0.6516900248618085,0.11711541054856411,0.7129551898326034,0.3770417378536275,0.6290825272562535,0.877179714814076,0.3674424381260144,0.23805997663389555,0.9065601238968553
63,0.7500396647364833,0.2389057084776024,0.17764772289117647,0.3935544491864462,0.6159182127000962,0.0712924465170246,0.9957140353013592,0.3075720970604563,0.8927787963491558,0.9810789815395997,0.4753323042621571,0.22279074665108767,0.9605822867754191
64,0.8281801997146301,0.4180135735774334,0.0719461504621347,0.24962377012292059,0.6676382375023098,0.06177494172770481,0.6715664956021314,0.17164880581818387,0.844568982121834,0.9736132388487667,0.4482489440441553,0.2614162124070619,0.7209461622078619
65,0.9301918323760038,0.7030958389500279,0.112376304232496,0.43698581057804975,0.48806324704742343,0.09896061695647651,0.85156908634536,0.14732908727875516,0.9814726887987596,0.8917906728948038,0.5258565305509113,0.20961568362609517,0.7615509332407502
66,0.6410015364102682,0.5241351697396024,0.15386101392048157,0.3198972890997094,0.3693429700150319,0.0676393377264437,0.8534095841494315,0.16519720895525059,0.8525161424832071,0.8153685534091781,0.4912601358670976,0.07845995046312759,0.8912570625232367
67,0.502648277626804,0.5697003094986105,0.12483779120410077,0.35094435775197086,0.3301133711358649,0.07357674965853267,0.7801676398184301,0.1291500231263748,0.8586596927810534,0.8295229137525373,0.4223390342031682,0.1500188088026213,0.8153237346985125
68,0.4317424144185543,0.42140567949819574,0.11076735638906032,0.4815304124488261,0.5066316628560242,0.15038931092233498,0.9492108196670237,0.2214205150064421,0.8603570698644847,0.8040066341123666,0.697639861016502,0.42152834781244564,0.5553653435176922
69,0.76559610331512,0.5491543493711963,0.25873277249001847,0.5070361174311171,0.6152019926068195,0.48027591438330963,0.8687370768458695,0.31001928650097965,0.8073762362836682,0.7919683494184412,0.6467867845917039,0.37455267624042266,0.6230572590947512
70,0.5952779719531069,0.8328458601489516,0.4984065967609198,0.6953386296233899,0.9294378574141018,0.4427398565560894,0.9898123838413039,0.523013188264186,0.9714650981147456,0.6960359312711069,0.942569360454874,0.500445808435748,0.8512333378289688
71,0.5555949423065845,0.8966172706436126,0.4255232625148362,0.7636100281195426,0.6934467667065621,0.500913724025304,0.9612586156932489,0.7190399872631426,0.7735026943957899,0.8987798804227898,0.8518367760803494,0.3458543483760601,0.6948375590495015
72,0.4550119919407777,0.9202047850752741,0.39234367501875034,0.1762869852787381,0.4651542949540358,0.5192561281783554,0.8800177144295595,0.24658723140892358,0.8249610119477786,0.9642016438950713,0.9729438148438883,0.0750457816120218,0.8150167744314938
73,0.6111174301309124,0.5351413583479823,0.6193781864806265,0.33622518917348854,0.7549578537081042,0.7989320398425556,0.998616194298523,0.5259196761768214,0.7922855338814013,0.6284141578428315,0.8576048431171671,0.107467041891818,0.7531548882058342
74,0.8710767472001489,0.9464963979363088,0.17529029267328344,0.5509488932780691,0.6442907599768198,0.6325391098242403,0.9348297403331167,0.7012215652518407,0.6758758512271676,0.6136940350413023,0.9641635045906185,0.14141327511562074,0.7946156443170369
75,0.9788047467775253,0.7137298607843309,0.4741983158158871,0.41964872339134873,0.344096700675545,0.5988235753840705,0.9175379378443856,0.5306807869353829,0.46920882726628343,0.6697301336853583,0.778031349279342,0.12839569192966138,0.6146378208036083
76,0.9697204683386387,0.8017970008009645,0.5061675842888796,0.4551463850844434,0.5958057475178729,0.6217801221584727,0.9043425007534293,0.25137305875945526,0.8021519139114016,0.6010895291803207,0.8878033224458038,0.11666728685737948,0.8493726197840998
77,0.9835969570793346,0.26532102787682443,0.8430035125017094,0.4189054152208065,0.7584664562925767,0.7653237010260039,0.8630438966694742,0.25643374136118013,0.5620490572031981,0.6188864477440015,0.8490265810900005,0.086437061611074,0.8919248130257638
78,0.9804372616895782,0.6619151261489493,0.6276439113317431,0.5638084536384735,0.24229264859934807,0.7139898220080714,0.9519642923760473,0.43683462630433,0.9358073228852538,0.3112020445636646,0.79344023486976,0.13170437962471304,0.6332291896776605
79,0.8046585279450447,0.8615241559638166,0.4389395122175883,0.40205737588087775,0.21906681881358747,0.2886699638573672,0.8555365958351039,0.3055926995803404,0.9120553839138419,0.1674335803164928,0.6884548316110348,0.24232216524743877,0.8917536330313653
80,0.6521068450603053,0.5000948261978757,0.5597508848189867,0.8084512495509344,0.608712729783329,0.35337249092826584,0.771105744331346,0.09991633351776696,0.6190134882713998,0.47659425485367635,0.8808229131767478,0.368895863653272,0.5656754720193435
81,0.9188470314508708,0.6283620846668699,0.6319170981052333,0.6180062428032715,0.44832041480194884,0.22011026975243442,0.8569287797753009,0.1392809918344713,0.3927012058709315,0.7539946571899211,0.9721692377721645,0.4958251795270405,0.5902804700621782
82,0.659412224270499,0.5497172517229162,0.8224848313421258,0.5930718513704166,0.3836210062783061,0.26224327846789863,0.7737540385240123,0.3471404280800868,0.6060925129524452,0.673610859890662,0.6872227553188089,0.2619604317338454,0.8952829435360145
83,0.8091603219625039,0.25844452470536683,0.8729202454280032,0.6328541839644427,0.8802612756124679,0.2145044304435757,0.9049134447802458,0.36756571349082323,0.7931251360009048,0.7246931954196327,0.8094819703106703,0.18486805669511353,0.9002550444241536
84,0.8185672988699665,0.42347352404155303,0.6061624943436358,0.7768802157401092,0.9314214258738202,0.5000216476290529,0.7798991802023214,0.6223483905939579,0.7765651900519248,0.8271181312670344,0.5897316630834949,0.3701010560052074,0.8545496473029847
85,0.9079809725143012,0.47580791268404066,0.6657585040601146,0.5468475607758169,0.9355372376948797,0.3583200964629548,0.9446103471041567,0.6437832496350703,0.785103312376647,0.85417679730518,0.2505724187348872,0.43460746746702583,0.8085117421204445
86,0.4027622058069663,0.7730033733793579,0.4454542326231341,0.44112104518961215,0.8735445461012576,0.4781242849363426,0.981022556863763,0.7686543011451443,0.5293913970469918,0.9007763322578796,0.42213549257217875,0.3755628350036543,0.949825708105415
87,0.48518380616951673,0.686109910184912,0.4652283677925174,0.36271219270718424,0.9559624226458177,0.18982044603212245,0.9952956269514273,0.4078720131967092,0.7223342559338852,0.8641750180343408,0.7212782000127234,0.5527992530940851,0.931161791279266
88,0.32687040850063964,0.46403101784934553,0.4419617273063452,0.6828652849174526,0.8414060013312319,0.15728912218550806,0.9141464871952123,0.686448582068782,0.6005506321042275,0.94004930932055,0.909651989359394,0.2756452389298172,0.7608005546647507
89,0.8347848018152909,0.386609454553719,0.6022101089369641,0.599703495297226,0.9191926369581518,0.2984202370493423,0.8743772941165812,0.64185393214537,0.8264051980182117,0.9256073379173574,0.7983327360482962,0.14882727223297287,0.8934678640512943
90,0.6402023621559773,0.37591440348889404,0.8058526528207641,0.5866298327876467,0.817513801588254,0.5589288365745608,0.8094356152824609,0.7018949448905893,0.8167048780023894,0.9841435790929635,0.62728767154804,0.08710229445715723,0.5911023858880644
91,0.5037204830686712,0.24724266096854175,0.40514518282919443,0.5109619187278447,0.5590504666666783,0.4380125519446393,0.8871009437297489,0.6859663015725382,0.9424295861848323,0.9610937213598579,0.6904227070259791,0.23681770126789736,0.7583340790444206
92,0.5126409442747141,0.41214349513448956,0.6540688944271855,0.6223442800051836,0.7637336137134031,0.43111763850186735,0.34079691261385703,0.7813675455211421,0.8081266581530623,0.8239901867840879,0.895715309338591,0.2515061685362203,0.9321086987253964
93,0.6699472626515596,0.44726863871569655,0.5277888615285876,0.7962963247599262,0.681588921400051,0.8219765712547251,0.23095002138007636,0.9903516835115087,0.8312851178875043,0.8971784859668435,0.9800277051896743,0.4540709467690659,0.6038657578516295
94,0.8725585667238585,0.3065120917233648,0.40238382824914964,0.693869446360089,0.8157203083586603,0.675999847266076,0.19187698781643792,0.9919763337989698,0.3869439711032865,0.5472225478525186,0.7918646355666814,0.38564187631435143,0.6044248751200859
95,0.5899448895148681,0.43055478467800856,0.38315204287178606,0.6863897838779891,0.7798648792432188,0.7809721992986216,0.3274810746448964,0.9638235665843877,0.7439112793469727,0.5620205717619025,0.9026721659221053,0.42279989366060877,0.768297496620313
96,0.9267732445122203,0.6643224272640569,0.639234336817196,0.7435285974499888,0.6456382798920904,0.7211216923034317,0.33734573103103593,0.8914758810811753,0.3022304255031215,0.2522986701862999,0.7455800212262141,0.3071873081976255,0.8762221091309325
97,0.8552404299358031,0.7532139926207009,0.2609835296203382,0.5551233369954283,0.7357529573999102,0.9281196456328031,0.6186249881237997,0.782929883212172,0.49651319510211067,0.6194517143022067,0.9279384365738357,0.3577657718571796,0.7801617627362492
98,0.9171597780533955,0.689833865764793,0.4277144494803179,0.7095483831733106,0.8096154474563876,0.9595688205440853,0.511771140515666,0.9955792947510906,0.6217473522256863,0.3891798045992898,0.94581390311897,0.29795471785165784,0.9243678880946293
99,0.5180308675908294,0.7768090260741369,0.20446954600550826,0.6238946067064426,0.6156272190462662,0.7431164740018312,0.15002242429025203,0.9948839736503021,0.46685279236959687,0.43891922990425836,0.6914943329717839,0.22579852163786485,0.812875471205033
